giver_orig,giver,giver_wiki,giver_name,WikidataID
"His Excellency Adil Mahdi, Deputy Government Council Member/Deputy President of the Republic of Iraq","Adil Mahdi, Deputy Government Council Member/Deputy President of the Republic of Iraq",,Adil Mahdi,
His Excellency Mazud Barzam Governing Council Member of the Republic of Iraq,Mazud Barzam Governing Council Member of the Republic of Iraq,,Mazud Barzam Governing Council Member of the Republic of Iraq,
"Government Official on behalf of the Kingdom of Saudi Arabia, Unknown","Government Official on behalf of the Kingdom of Saudi Arabia, Unknown",,Government Official on behalf of the Kingdom of Saudi Arabia,
"His Excellency Bozo Biskupic, Minister of Culture of the Republic of Croatia","Bozo Biskupic, Minister of Culture of the Republic of Croatia",,Bozo Biskupic,
"Conference on North Atlantic Treaty Organization and Gulf Countries, from Government of Kuwait","Conference on North Atlantic Treaty Organization and Gulf Countries, from Government of Kuwait",,Conference on North Atlantic Treaty Organization and Gulf Countries,
"His Excellency Ayed Allawi, Prime Minister of Iraq","Ayed Allawi, Prime Minister of Iraq",,Ayed Allawi,
Wu Yi Vice Premier of the State Council Govt. of People's Republic of China,Wu Yi Vice Premier of the State Council Govt. of People's Republic of China,,Wu Yi Vice Premier of the State Council Govt. of People's Republic of China,
"Their Majesties King Abdullah ll bin Al Hussein and Queen Rania, of the Hashemite Kingdom of Jordan","Their Majesties King Abdullah ll bin Al Hussein and Queen Rania, of the Hashemite Kingdom of Jordan",,Their Majesties King Abdullah ll bin Al Hussein and Queen Rania,
"His Excellency, Abdelwaheb Abdallah, Minister of Foreign Affairs of the Republic of Tunisia","Abdelwaheb Abdallah, Minister of Foreign Affairs of the Republic of Tunisia",,Abdelwaheb Abdallah,
"Field Marshal Hussein Tantawi and Mrs. Wagida Rasem Tantawi, Minister of Defense of the Arab Republic of Egypt","Field Marshal Hussein Tantawi and Wagida Rasem Tantawi, Minister of Defense of the Arab Republic of Egypt",,Hussein Tantawi and Wagida Rasem Tantawi,
"Governor Dilbar Jan Arnan, Jabol Province, of the Islamic Republic of Afghanistan","Governor Dilbar Jan Arnan, Jabol Province, of the Islamic Republic of Afghanistan",,Governor Dilbar Jan Arnan,
"His Excellency, Emomali Rahmonov, President of the Republic of Tajikistan","Emomali Rahmonov, President of the Republic of Tajikistan",,Emomali Rahmonov,
"Admiral Marco Antonio Peyrot, Secretary of the Navy of Mexico","Admiral Marco Antonio Peyrot, Secretary of the Navy of Mexico",,Marco Antonio Peyrot,
"General Gerardo Clemente Ricardo Vega Garcia, Secretary of National Defense of Mexico","General Gerardo Clemente Ricardo Vega Garcia, Secretary of National Defense of Mexico",,Gerardo Clemente Ricardo Vega Garcia,
"Mrs. Waigida Tanawi, Spouse of the Minister of Defense of the Arab Republic of Egypt","Waigida Tanawi, Spouse of the Minister of Defense of the Arab Republic of Egypt",,Waigida Tanawi,
"Prince Khalid bin Sultan bin Abdulaziz, Assistant MOD and Aviation for Military Affairs, Ministry of Defense and Aviation","Prince Khalid bin Sultan bin Abdulaziz, Assistant MOD and Aviation for Military Affairs, Ministry of Defense and Aviation",,Prince Khalid bin Sultan bin Abdulaziz,
"VADM Wu, Wei-Rong, Director General, Armaments Bureau, Taiwan","VADM Wu, Wei-Rong, Director General, Armaments Bureau, Taiwan",,VADM Wu,
"Abdelaxi Bouteflika, President of The People's Democratic Republic of Algeria","Abdelaxi Bouteflika, President of The People's Democratic Republic of Algeria",,Abdelaxi Bouteflika,
Defense Minister Heidi M'Henni,Defense Minister Heidi M'Henni,,Defense Minister Heidi M'Henni,
Minister Del for National Abderrahmane Sbai,Minister Del for National Abderrahmane Sbai,,Minister Del for National Abderrahmane Sbai,
"Chief of General Staff, Taiwan","Chief of General Staff, Taiwan",,Staff,
"His Excellency Hilmi Guler, Minister of Turkish Energy & Natural Resources of the Republic of Turkey","Hilmi Guler, Minister of Turkish Energy & Natural Resources of the Republic of Turkey",,Hilmi Guler,
Attorney General Abdul Jabar Sabit of the Islamic Republic of Afghanistan,Attorney General Abdul Jabar Sabit of the Islamic Republic of Afghanistan,,Abdul Jabar Sabit of the Islamic Republic of Afghanistan,
National Assembly Chairman Nguyen Phu Trong,National Assembly Chairman Nguyen Phu Trong,,National Assembly Chairman Nguyen Phu Trong,
Representative David Tawei and Lin Chin Lee of Taipei Economic and Cultural Representative office-Embassy of Taiwan,Representative David Tawei and Lin Chin Lee of Taipei Economic and Cultural Representative office-Embassy of Taiwan,,Representative David Tawei and Lin Chin Lee of Taipei Economic and Cultural Representative office-Embassy of Taiwan,
"Ambassador Evan Paki of Papua, New Guinea","Ambassador Evan Paki of Papua, New Guinea",,Evan Paki of Papua,
"Right Honorable Margaret Beckett, Foreign Secretary of the United Kingdom","Right Honorable Margaret Beckett, Foreign Secretary of the United Kingdom",,Right Honorable Margaret Beckett,
