giver_orig,giver,giver_wiki,giver_name,WikidataID
Bundestag/Bundesrat of the Federal Republic of Germany,Bundestag/Bundesrat of the Federal Republic of Germany,,Bundestag/Bundesrat of the Federal Republic of Germany,
"Mr. Knut Dethlefsen, FES Representative to the United States and Canada","Knut Dethlefsen, FES Representative to the United States and Canada",,Knut Dethlefsen,
"His Excellency Dr. Sayed Mohammad Amin Fatimie, Minister of Public Health, Islamic Republic of Afghanistan","Sayed Mohammad Amin Fatimie, Minister of Public Health, Islamic Republic of Afghanistan",,Sayed Mohammad Amin Fatimie,
The Royal Family of the Kingdom of Thailand,The Royal Family of the Kingdom of Thailand,,The Royal Family of the Kingdom of Thailand,
"General Qamar Laved Bajwa, Chief of Army Staff, Islamic Republic of Pakistan","General Qamar Laved Bajwa, Chief of Army Staff, Islamic Republic of Pakistan",,Qamar Laved Bajwa,
National Police of the Republic of Colombia,National Police of the Republic of Colombia,,National Police of the Republic of Colombia,
Government of the Federal Republic of Germany,Government of the Federal Republic of Germany,,Government of the Federal Republic of Germany,
"Mr. Hashim Taher AI Ibrahim, Business Facilitation Director, Port of Duqm Company SAOC, Sultanate of Oman","Hashim Taher AI Ibrahim, Business Facilitation Director, Port of Duqm Company SAOC, Sultanate of Oman",,Hashim Taher AI Ibrahim,
"Mr. Nicola Sasanelli, SmartSat CRC Senior Advisor, Australia","Nicola Sasanelli, SmartSat CRC Senior Advisor, Australia",,Nicola Sasanelli,
"Mr. Somnuk Thanadechakul, Mayor of Nonthaburi Municipality, the Kingdom of Thailand","Somnuk Thanadechakul, Mayor of Nonthaburi Municipality, the Kingdom of Thailand",,Somnuk Thanadechakul,
"The Honorable Koji Matsuzaki, Mayor of Obama City of Japan","Koji Matsuzaki, Mayor of Obama City of Japan",,Koji Matsuzaki,
"His Excellency Dyusen Kaseinov, General Secretary of Turksoy","Dyusen Kaseinov, General Secretary of Turksoy",,Dyusen Kaseinov,
"His Highness Sheikh Hamad Bin Khalifa Al Thani, Amir of the State of Qatar","Sheikh Hamad Bin Khalifa Al Thani, Amir of the State of Qatar",,Sheikh Hamad Bin Khalifa Al Thani,
"Chief Justice Oumar Sakho, First President of the Supreme Court of the Republic of Senegal","Chief Justice Oumar Sakho, First President of the Supreme Court of the Republic of Senegal",,Chief Justice Oumar Sakho,
"Her Excellency Dalia Grybauskaitė, President of the Republic of Lithuania","Dalia Grybauskaitė, President of the Republic of Lithuania",,Dalia Grybauskaitė,
His Majesty King Carl XVI Gustaf of Sweden,King Carl XVI Gustaf of Sweden,,King Carl XVI Gustaf of Sweden,
"His Excellency Abdullah Gül, President of the Republic of Turkey","Abdullah Gül, President of the Republic of Turkey",,Abdullah Gül,
"His Excellency Nouri Al-Maliki, Prime Minister of the Republic of Iraq","Nouri Al-Maliki, Prime Minister of the Republic of Iraq",,Nouri Al-Maliki,
"His Excellency Juan Manuel Santos Calderón, President of the Republic of Colombia","Juan Manuel Santos Calderón, President of the Republic of Colombia",,Juan Manuel Santos Calderón,
"His Excellency Mohamed Bin Abdulla Al Rumaihi, Ambassador of the State of Qatar to the United States","Mohamed Bin Abdulla Al Rumaihi, Ambassador of the State of Qatar to the United States",,Mohamed Bin Abdulla Al Rumaihi,
"Mrs. Mintou Doucoure Traore, First Lady of the Republic of Mali","Mintou Doucoure Traore, of the Republic of Mali",,Mintou Doucoure Traore,
The City of Cape Town of the Republic of South Africa,The City of Cape Town of the Republic of South Africa,,The City of Cape Town of the Republic of South Africa,
"His Highness Sheikh Sabah Al-Ahmad Al-Jaber Al-Sabah, Amir of the State of Kuwait","Sheikh Sabah Al-Ahmad Al-Jaber Al-Sabah, Amir of the State of Kuwait",,Sheikh Sabah Al-Ahmad Al-Jaber Al-Sabah,
Her Majesty Queen Pengiran Anak Saleha of Brunei Darussalam,Queen Pengiran Anak Saleha of Brunei Darussalam,,Queen Pengiran Anak Saleha of Brunei Darussalam,
His Royal Highness Prince Henry Charles Albert David of Wales,Prince Henry Charles Albert David of Wales,,Prince Henry Charles Albert David of Wales,
"Mrs. Tobeka Zuma, First Lady of the Republic of South Africa","Tobeka Zuma, of the Republic of South Africa",,Tobeka Zuma,
"His Excellency Julio Ligorría, Ambassador of the Republic of Guatemala to the United States","Julio Ligorría, Ambassador of the Republic of Guatemala to the United States",,Julio Ligorría,
"Ms. Valérie Trierweiler, First Lady of the French Republic","Valérie Trierweiler, of the French Republic",,Valérie Trierweiler,
"His Excellency Enrique Peña Nieto and Mrs. Angélica Rivera de Peña, President and First Lady of the United Mexican States","Enrique Peña Nieto and Angélica Rivera de Peña, President and of the United Mexican States",,Enrique Peña Nieto and Angélica Rivera de Peña,
"His Excellency Youssou N'Dour, Minister-Counselor to the President of the Republic of Senegal","Youssou N'Dour, Minister-Counselor to the President of the Republic of Senegal",,Youssou N'Dour,
"Mrs. Emine Erdoğan, First Lady of the Republic of Turkey","Emine Erdoğan, of the Republic of Turkey",,Emine Erdoğan,
"His Royal Highness Salman Bin Hamad Al Khalifa, Crown Prince of the Kingdom of Bahrain, First Deputy Prime Minister, and Deputy Supreme Commander of the Bahrain Defense Force","Salman Bin Hamad Al Khalifa, Crown Prince of the Kingdom of Bahrain, First Deputy Prime Minister, and Deputy Supreme Commander of the Bahrain Defense Force",,Salman Bin Hamad Al Khalifa,
"His Excellency Ranko Krivokapic, Speaker of the Parliament of Montenegro","Ranko Krivokapic, Speaker of the Parliament of Montenegro",,Ranko Krivokapic,
"His Excellency Shaikh Khalifa Bin Abdulla Al Khalifa, Secretary-General of the Supreme Defense Council of Bahrain and National Security Advisor to the King of Bahrain","Shaikh Khalifa Bin Abdulla Al Khalifa, Secretary-General of the Supreme Defense Council of Bahrain and National Security Advisor to the King of Bahrain",,Shaikh Khalifa Bin Abdulla Al Khalifa,
"Mr. Ali Hassan al-Ahmadi, Chairman of National Security Bureau of the Republic of Yemen","Ali Hassan al-Ahmadi, Chairman of National Security Bureau of the Republic of Yemen",,Ali Hassan al-Ahmadi,
"His Excellency Mohammed Nasser Ahmed Ali, Defense Minister of the Republic of Yemen","Mohammed Nasser Ahmed Ali, Defense Minister of the Republic of Yemen",,Mohammed Nasser Ahmed Ali,
"His Excellency Michel Miguel Elias Temer Lulia, Vice President of the Federative Republic of Brazil","Michel Miguel Elias Temer Lulia, Vice President of the Federative Republic of Brazil",,Michel Miguel Elias Temer Lulia,
"His Excellency Enrique Peña Nieto, President of the United Mexican States","Enrique Peña Nieto, President of the United Mexican States",,Enrique Peña Nieto,
"His Excellency Bülent Arınç, Deputy Prime Minister of the Republic of Turkey","Bülent Arınç, Deputy Prime Minister of the Republic of Turkey",,Bülent Arınç,
"His Majesty King Abdullah II ibn Al Hussein and Her Majesty Queen Rania Al Abdullah, King and Queen of the Hashemite Kingdom of Jordan","King Abdullah II ibn Al Hussein and Queen Rania Al Abdullah, King and Queen of the Hashemite Kingdom of Jordan",,King Abdullah II ibn Al Hussein and Queen Rania Al Abdullah,
"His Excellency Giulio Terzi, Minister of Foreign Affairs of the Italian Republic","Giulio Terzi, Minister of Foreign Affairs of the Italian Republic",,Giulio Terzi,
"His Highness General Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Deputy Supreme Commander of the UAE Armed Forces","General Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Deputy Supreme Commander of the UAE Armed Forces",,Sheikh Mohammed bin Zayed Al Nahyan,
"His Excellency Leonid Kozhara, Minister of Foreign Affairs of Ukraine","Leonid Kozhara, Minister of Foreign Affairs of Ukraine",,Leonid Kozhara,
"His Excellency Sheikh Sabah Al-Khaled Al-Hamad Al-Sabah, Deputy Prime Minister and Minister of Foreign Affairs of the State of Kuwait","Sheikh Sabah Al-Khaled Al-Hamad Al-Sabah, Deputy Prime Minister and Minister of Foreign Affairs of the State of Kuwait",,Sheikh Sabah Al-Khaled Al-Hamad Al-Sabah,
The Government of Brunei Darussalam,The Government of Brunei Darussalam,,The Government of Brunei Darussalam,
Asia-Pacific Economic Cooperation,Asia-Pacific Economic Cooperation,,Asia-Pacific Economic Cooperation,
"His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marh`um Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi Waddien, Sultan and Yang Di-Pertuan of Brunei Darussalam","Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marh`um Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi Waddien, Sultan and Yang Di-Pertuan of Brunei Darussalam",,Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marh`um Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi Waddien,
"YAB Dato' Sri Mohd Najib bin Tun Abdul Razak, Prime Minister of Malaysia","YAB Dato' Sri Mohd Najib bin Tun Abdul Razak, Prime Minister of Malaysia",,YAB Dato' Sri Mohd Najib bin Tun Abdul Razak,
"Mr. Valentin Bodiul, Director of Cricova Winery of the Republic of Moldova","Valentin Bodiul, Director of Cricova Winery of the Republic of Moldova",,Valentin Bodiul,
"His Excellency Pham Binh Ming, Deputy Prime Minister and Foreign Minister of the Socialist Republic of Vietnam","Pham Binh Ming, Deputy Prime Minister and Foreign Minister of the Socialist Republic of Vietnam",,Pham Binh Ming,
"His Excellency Augustin Matata Ponyo, Prime Minister of the Democratic Republic of the Congo","Augustin Matata Ponyo, Prime Minister of the Democratic Republic of the Congo",,Augustin Matata Ponyo,
"His Excellency Yahya al Sulaimi, Minister of Education of the Sultanate of Oman","Yahya al Sulaimi, Minister of Education of the Sultanate of Oman",,Yahya al Sulaimi,
"His Highness Sayyid Fahd Al Said, Deputy Prime Minister of the Council of Ministers of the Sultanate of Oman","Sayyid Fahd Al Said, Deputy Prime Minister of the Council of Ministers of the Sultanate of Oman",,Sayyid Fahd Al Said,
"His Excellency General Ali Majid al Ma'amri, Minister of the Royal Office of the Sultanate of Oman","General Ali Majid al Ma'amri, Minister of the Royal Office of the Sultanate of Oman",,Ali Majid al Ma'amri,
"His Excellency Mohamed al Ma'amri, Minister of State and the Governor of Dhofar of the Sultanate of Oman","Mohamed al Ma'amri, Minister of State and the Governor of Dhofar of the Sultanate of Oman",,Mohamed al Ma'amri,
"His Majesty Sultan Qaboos al Said, Sultan of Oman","Sultan Qaboos al Said, Sultan of Oman",,Sultan Qaboos al Said,
"Lieutenant General Mundhir Majid Al Said, Head of Liaison of the Royal Office of the Sultanate of Oman","Lieutenant General Mundhir Majid Al Said, Head of Liaison of the Royal Office of the Sultanate of Oman",,Mundhir Majid Al Said,
"His Excellency Hajredin Kuci, Deputy Prime Minister of the Republic of Kosovo","Hajredin Kuci, Deputy Prime Minister of the Republic of Kosovo",,Hajredin Kuci,
The Federal Antimonopoly Service of the Russian Federation,The Federal Antimonopoly Service of the Russian Federation,,The Federal Antimonopoly Service of the Russian Federation,
"Dr. Kamal Kirkuki, Speaker of Parliament of the Kurdistan Regional Government","Kamal Kirkuki, Speaker of Parliament of the Kurdistan Regional Government",,Kamal Kirkuki,
Permanent Mission of the State of Qatar to the United Nations,Permanent Mission of the State of Qatar to the United Nations,,Permanent Mission of the State of Qatar to the United Nations,
"Dr. Majed al-Harbi, Director for the King Abdullah Scholarship Programs of the Ministry of Higher Education of the Kingdom of Saudi Arabia","Majed al-Harbi, Director for the King Abdullah Scholarship Programs of the Ministry of Higher Education of the Kingdom of Saudi Arabia",,Majed al-Harbi,
"His Excellency Ali bin Fahad Faleh Al-Hajri, Ambassador of the State of Qatar to the United States","Ali bin Fahad Faleh Al-Hajri, Ambassador of the State of Qatar to the United States",,Ali bin Fahad Faleh Al-Hajri,
Government of the Republic of South Sudan,Government of the Republic of South Sudan,,Government of the Republic of South Sudan,
"His Highness Sheikh Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar","Sheikh Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar",,Sheikh Hamad Bin Khalifa Al-Thani,
Her Royal Highness Sultanah Pahang Hajjah Kalsom of Malaysia,Sultanah Pahang Hajjah Kalsom of Malaysia,,Sultanah Pahang Hajjah Kalsom of Malaysia,
The Government of the United Republic of Tanzania,The Government of the United Republic of Tanzania,,The Government of the United Republic of Tanzania,
"Mr. Hao Deng, Deputy Chief of Mission of the People's Republic of China to Georgia","Hao Deng, Deputy Chief of Mission of the People's Republic of China to Georgia",,Hao Deng,
"The Honorable Ángel Aguirre Rivero, Governor of the State of Guerrero","Ángel Aguirre Rivero, Governor of the State of Guerrero",,Ángel Aguirre Rivero,
"His Excellency Jabir Habeb Jabir Hemaidawi, Ambassador of the Republic of Iraq to the United States","Jabir Habeb Jabir Hemaidawi, Ambassador of the Republic of Iraq to the United States",,Jabir Habeb Jabir Hemaidawi,
"His Excellency Sebastian Piñera, President of the Republic of Chile","Sebastian Piñera, President of the Republic of Chile",,Sebastian Piñera,
"Professor Murat Zhurinov, President of the National Academy of Sciences of the Republic of Kazakhstan","Professor Murat Zhurinov, President of the National Academy of Sciences of the Republic of Kazakhstan",,Professor Murat Zhurinov,
"His Excellency Basile Ikouébé, Minister of Foreign Affairs of the Republic of Congo","Basile Ikouébé, Minister of Foreign Affairs of the Republic of Congo",,Basile Ikouébé,
"His Royal Highness Haji Ahmad Shah Al-Mustain Billah, Sultan of Pahang State of Malaysia","Haji Ahmad Shah Al-Mustain Billah, Sultan of Pahang State of Malaysia",,Haji Ahmad Shah Al-Mustain Billah,
"Mr. Serhiy Lovochkin, Chief of Staff of the President of Ukraine","Serhiy Lovochkin, Chief of Staff of the President of Ukraine",,Serhiy Lovochkin,
"His Excellency Yermukhamed Yertysbayev, Ambassador of the Republic of Kazakhstan to Georgia","Yermukhamed Yertysbayev, Ambassador of the Republic of Kazakhstan to Georgia",,Yermukhamed Yertysbayev,
Government of the Lebanese Republic,Government of the Lebanese Republic,,Government of the Lebanese Republic,
"His Royal Highness Prince Abd al-Illah bin Abd al-Aziz Al Saud, Prince Advisor to the King of the Kingdom of Saudi Arabia","Prince Abd al-Illah bin Abd al-Aziz Al Saud, Prince Advisor to the King of the Kingdom of Saudi Arabia",,Prince Abd al-Illah bin Abd al-Aziz Al Saud,
"Mr. Shamsaddin Hajiyev, Rector of the Economic University of the Republic of Azerbaijan","Shamsaddin Hajiyev, Rector of the Economic University of the Republic of Azerbaijan",,Shamsaddin Hajiyev,
"Colonel Mohamed Al Nassr, Security Attaché at the Embassy of the State of Qatar","Colonel Mohamed Al Nassr, Security Attaché at the Embassy of the State of Qatar",,Mohamed Al Nassr,
"Mr. Salman bin Khalifa, Director General of the Office of the First Deputy Prime Minister of the Kingdom of Bahrain","Salman bin Khalifa, Director General of the Office of the First Deputy Prime Minister of the Kingdom of Bahrain",,Salman bin Khalifa,
Embassy of the Islamic Republic of Afghanistan,Embassy of the Islamic Republic of Afghanistan,,Embassy of the Islamic Republic of Afghanistan,
China Foreign Affairs University,China Foreign Affairs University,,China Foreign Affairs University,
"Lieutenant General Abdul Hadi Bin Hj Hussin, Director of the General Defense Intelligence of the Malaysian Armed Forces","Lieutenant General Abdul Hadi Bin Hj Hussin, Director of the General Defense Intelligence of the Malaysian Armed Forces",,Abdul Hadi Bin Hj Hussin,
Representative of the Government of the Republic of Azerbaijan,Representative of the Government of the Republic of Azerbaijan,,Representative of the Government of the Republic of Azerbaijan,
"The Honorable Sergio de Oliveira Cabral Santos Filno, Governor of the State of Rio de Janeiro of the Federative Republic of Brazil","Sergio de Oliveira Cabral Santos Filno, Governor of the State of Rio de Janeiro of the Federative Republic of Brazil",,Sergio de Oliveira Cabral Santos Filno,
"His Excellency General Guillermo Galvan, Secretary of National Defense of Mexico","General Guillermo Galvan, Secretary of National Defense of Mexico",,Guillermo Galvan,
"The Honorable Peter G. MacKay, P.C., Q.C., M.P., Minister of National Defense of Canada","Peter G. MacKay, P.C., Q.C., M.P., Minister of National Defense of Canada",,Peter G. MacKay,
"His Excellency Voltaire T. Gazmin, Secretary of National Defense of the Republic of the Philippines","Voltaire T. Gazmin, Secretary of National Defense of the Republic of the Philippines",,Voltaire T. Gazmin,
"His Excellency Adilbek Dzhaksybekov, Minister of Defense of the Republic of Kazakhstan","Adilbek Dzhaksybekov, Minister of Defense of the Republic of Kazakhstan",,Adilbek Dzhaksybekov,
"Lieutenant General Hernán Mardones Ríos, Chief of the Joint Staff of the Republic of Chile","Lieutenant General Hernán Mardones Ríos, Chief of the Joint Staff of the Republic of Chile",,Hernán Mardones Ríos,
"Admiral Francisco Soberon Sanz, Secretary of the Mexican Navy","Admiral Francisco Soberon Sanz, Secretary of the Mexican Navy",,Francisco Soberon Sanz,
"Lieutenant General Marshal Al-Zaben, Chairman of the Joint Chiefs of Staff of the Hashemite Kingdom of Jordan","Lieutenant General Marshal Al-Zaben, Chairman of the Joint Chiefs of Staff of the Hashemite Kingdom of Jordan",,Al-Zaben,
"Mrs. Revital Gantz, Spouse of the Chief of Defense of the State of Israel","Revital Gantz, Spouse of the Chief of Defense of the State of Israel",,Revital Gantz,
"His Excellency Dimitri Shashkin, Minister of Defense of Georgia","Dimitri Shashkin, Minister of Defense of Georgia",,Dimitri Shashkin,
"Lieutenant Colonel Temur Eubidze, Defense Attaché of Georgia","Lieutenant Colonel Temur Eubidze, Defense Attaché of Georgia",,Temur Eubidze,
"His Excellency Gotobaya Rajapaksa, Secretary of Defense of the Ministry of Defense and Urban Development of the Democratic Socialist Republic of Sri Lanka","Gotobaya Rajapaksa, Secretary of Defense of the Ministry of Defense and Urban Development of the Democratic Socialist Republic of Sri Lanka",,Gotobaya Rajapaksa,
"Brigadier General Lawel Chekou Kore, Director General of the General Directorate for Documentation and External Security of the Republic of Niger","Brigadier General Lawel Chekou Kore, Director General of the General Directorate for Documentation and External Security of the Republic of Niger",,Lawel Chekou Kore,
"His Excellency Muhammed Moeen, Defense Attaché of the People's Republic of Bangladesh","Muhammed Moeen, Defense Attaché of the People's Republic of Bangladesh",,Muhammed Moeen,
"His Highness Sheikh Tamim bin Hamad Al-Thani, Heir Apparent of the State of Qatar","Sheikh Tamim bin Hamad Al-Thani, Heir Apparent of the State of Qatar",,Sheikh Tamim bin Hamad Al-Thani,
"Mr. Roukoz Chemel, Commander of Ranger Regiment of the State of Israel","Roukoz Chemel, Commander of Ranger Regiment of the State of Israel",,Roukoz Chemel,
The Government of the State of Israel,The Government of the State of Israel,,The Government of the State of Israel,
"Major General Lee Seo-young, Defense Attaché of the Republic of Korea","Major General Lee Seo-young, Defense Attaché of the Republic of Korea",,Lee Seo-young,
"General Kwon Oh-sung, Deputy Commander of the ROK-US Combined Forces Command","General Kwon Oh-sung, Deputy Commander of the ROK-US Combined Forces Command",,Kwon Oh-sung,
"Lieutenant General Mike Tien, Taipei Economic and Cultural Representative Office in the United States","Lieutenant General Mike Tien, Taipei Economic and Cultural Representative Office in the United States",,Mike Tien,
"His Excellency Mircea Duşa, Minister of Defense of Romania","Mircea Duşa, Minister of Defense of Romania",,Mircea Duşa,
"Brigadier General Abdullah Juma'an Al-Hamad, General Coordinator of the Qatar Armed Forces","Brigadier General Abdullah Juma'an Al-Hamad, General Coordinator of the Qatar Armed Forces",,Abdullah Juma'an Al-Hamad,
"Major General Khamis Sultan Al Farhan, Commander of the Kuwait Air Force","Major General Khamis Sultan Al Farhan, Commander of the Kuwait Air Force",,Khamis Sultan Al Farhan,
"Major General Abdul Raziq Sherzai, Commander of the Kandahar Air Wing of the Islamic Republic of Afghanistan","Major General Abdul Raziq Sherzai, Commander of the Kandahar Air Wing of the Islamic Republic of Afghanistan",,Abdul Raziq Sherzai,
Sheikha Hissa bint Mohamed Al-Attiyah of the State of Qatar,Sheikha Hissa bint Mohamed Al-Attiyah of the State of Qatar,,Sheikha Hissa bint Mohamed Al-Attiyah of the State of Qatar,
"Staff Brigadier Abdelraham Ibrahim Al Mazmi, Air Attaché of the United Arab Emirates","Staff Brigadier Abdelraham Ibrahim Al Mazmi, Air Attaché of the United Arab Emirates",,Staff Brigadier Abdelraham Ibrahim Al Mazmi,
"Major General Mohammed Al-Khayarin, Commander Qatari Emiri Air Force","Major General Mohammed Al-Khayarin, Commander Qatari Emiri Air Force",,Mohammed Al-Khayarin,
"Staff Brigadier Essam Abdullah Al-Shamri, Commander of the Al Dhafre Air Base of the United Arab Emirates","Staff Brigadier Essam Abdullah Al-Shamri, Commander of the Al Dhafre Air Base of the United Arab Emirates",,Staff Brigadier Essam Abdullah Al-Shamri,
"Air Vice Marshal Matar Al-Obaidani, Commander of the Omani Air Force","Air Vice Marshal Matar Al-Obaidani, Commander of the Omani Air Force",,Matar Al-Obaidani,
"Staff Brigadier Tareq Mohammed Al Bannai, UAE Military Attaché in Canberra","Staff Brigadier Tareq Mohammed Al Bannai, UAE Military Attaché in Canberra",,Staff Brigadier Tareq Mohammed Al Bannai,
"Captain Mohammed Anesrif, Embassy of the Kingdom of Morocco","Captain Mohammed Anesrif, Embassy of the Kingdom of Morocco",,Mohammed Anesrif,
"Major General Jamal, Deputy Minister of Peshmerga of the Republic of Iraq","Major General Jamal, Deputy Minister of Peshmerga of the Republic of Iraq",,Jamal,
"Lieutenant General Onyeabo Ihejirika, Chief of Army Staff of the Federal Republic of Nigeria","Lieutenant General Onyeabo Ihejirika, Chief of Army Staff of the Federal Republic of Nigeria",,Onyeabo Ihejirika,
"Command Sergeant Major Emad, Besmaya Training Center of the Iraqi Army","Command Sergeant Major Emad, Besmaya Training Center of the Iraqi Army",,Emad,
"Staff Major General Mohammed Ali Abdulla Al Issa, Director of Moral Guidance, Ministry of Defense of the United Arab Emirates","Staff Major General Mohammed Ali Abdulla Al Issa, Director of Moral Guidance, Ministry of Defense of the United Arab Emirates",,Mohammed Ali Abdulla Al Issa,
"Lieutenant General Sheikh Khaled Al-Jarrah, Chief of Staff of the Kuwait Armed Forces","Lieutenant General Sheikh Khaled Al-Jarrah, Chief of Staff of the Kuwait Armed Forces",,Sheikh Khaled Al-Jarrah,
"Mr. Ahn Byung-young, Mayor of Uijeongbu City, Republic of Korea","Ahn Byung-young, Mayor of Uijeongbu City, Republic of Korea",,Ahn Byung-young,
"Major General Abdulhameed Al-Awadhi, Assistant Under Secretary for Criminal Security Affairs of the Ministry of the Interior of the State of Kuwait","Major General Abdulhameed Al-Awadhi, Assistant Under Secretary for Criminal Security Affairs of the Ministry of the Interior of the State of Kuwait",,Abdulhameed Al-Awadhi,
"Lieutenant General Bikram Singh, Chief of Army Staff of the Indian Army","Lieutenant General Bikram Singh, Chief of Army Staff of the Indian Army",,Bikram Singh,
"Admiral (r) Álvaro Echandía Durán, Director General of the National Directorate of Intelligence of the Republic of Colombia","Admiral (r) Álvaro Echandía Durán, Director General of the National Directorate of Intelligence of the Republic of Colombia",,(r) Álvaro Echandía Durán,
"Major General Juan Campusano Lopez, Chief of Staff of the Dominican Republic Army","Major General Juan Campusano Lopez, Chief of Staff of the Dominican Republic Army",,Juan Campusano Lopez,
"Representative Kim Sung-Chan, Member of the Republic of Korea National Assembly","Representative Kim Sung-Chan, Member of the Republic of Korea National Assembly",,Representative Kim Sung-Chan,
"Lieutenant General Shaikh Rashid bin Abdulla Al Khalifa, Minister of the Interior of the Kingdom of Bahrain","Lieutenant General Shaikh Rashid bin Abdulla Al Khalifa, Minister of the Interior of the Kingdom of Bahrain",,Shaikh Rashid bin Abdulla Al Khalifa,
"Staff Brigadier General Saeed Bin Hamdan Al-Nayhan, Deputy Commander of the United Arab Emirates Naval Force","Staff Brigadier General Saeed Bin Hamdan Al-Nayhan, Deputy Commander of the United Arab Emirates Naval Force",,Saeed Bin Hamdan Al-Nayhan,
"Lieutenant General Ahmed Al-Nabhani, Chief of the Sultan's Armed Forces of the Sultanate of Oman","Lieutenant General Ahmed Al-Nabhani, Chief of the Sultan's Armed Forces of the Sultanate of Oman",,Ahmed Al-Nabhani,
"Major General Khalid Mohammad Al Khonder, Commdant of Ali Al Sabah Military College of the State of Kuwait","Major General Khalid Mohammad Al Khonder, Commdant of Ali Al Sabah Military College of the State of Kuwait",,Khalid Mohammad Al Khonder,
"Rear Admiral Nizah Jbaily, Head of the Lebanese Navy","Rear Admiral Nizah Jbaily, Head of the Lebanese Navy",,Nizah Jbaily,
"Captain Park Jae-sig, Chief of Civil Engineers of the Republic of Korea Navy","Captain Park Jae-sig, Chief of Civil Engineers of the Republic of Korea Navy",,Park Jae-sig,
"Vice Admikral Yasushi Matsushita, Commander in Chief, Japanese Maritime Self-Defense Force","Vice Admikral Yasushi Matsushita, Commander in Chief, Japanese Maritime Self-Defense Force",,Vice Admikral Yasushi Matsushita,
"Mr. Murad Bayar, Undersecretary for Defense Industries of the Ministry of National Defense of the Republic of Turkey","Murad Bayar, Undersecretary for Defense Industries of the Ministry of National Defense of the Republic of Turkey",,Murad Bayar,
"Vice Admiral Borsboom, Royal Netherlands Navy","Vice Admiral Borsboom, Royal Netherlands Navy",,Borsboom,
"Admiral Sigfrido Pared Perez, Minister of Defense of the Dominican Republic","Admiral Sigfrido Pared Perez, Minister of Defense of the Dominican Republic",,Sigfrido Pared Perez,
Swiss Dual System of Vocational and Professional Education,Swiss Dual System of Vocational and Professional Education,,Swiss Dual System of Vocational and Professional Education,
Organization for Economic Cooperation and Development and the Ministry of Education and Research of the Federal Republic of Germany,Organization for Economic Cooperation and Development and the Ministry of Education and Research of the Federal Republic of Germany,,Organization for Economic Cooperation and Development and the Ministry of Education and Research of the Federal Republic of Germany,
Ministry of Education of the Republic of Singapore,Ministry of Education of the Republic of Singapore,,Ministry of Education of the Republic of Singapore,
Organization for Economic Cooperation and Development and the Ministry of Education of the Republic of Turkey,Organization for Economic Cooperation and Development and the Ministry of Education of the Republic of Turkey,,Organization for Economic Cooperation and Development and the Ministry of Education of the Republic of Turkey,
The European Commission,The European Commission,,The European Commission,
"The Honorable Tansri Abdul Gani Patail, Attorney General of Malaysia","Tansri Abdul Gani Patail, Attorney General of Malaysia",,Tansri Abdul Gani Patail,
"His Excellency Miguel Angel Osorio Chong, Secretary of the Government of Mexico","Miguel Angel Osorio Chong, Secretary of the Government of Mexico",,Miguel Angel Osorio Chong,
"Mr. Alessandro Marangoni, Acting Deputy Chief of Police of the Italian Republic","Alessandro Marangoni, Acting Deputy Chief of Police of the Italian Republic",,Alessandro Marangoni,
Ministry of Foreign Affairs of the State of Qatar,Ministry of Foreign Affairs of the State of Qatar,,Ministry of Foreign Affairs of the State of Qatar,
"Mr. Guillermo Galarza, International Center for Missing and Exploited Children","Guillermo Galarza, International Center for Missing and Exploited Children",,Guillermo Galarza,
"Mr. Masami Tanaka, President of the Japanese Standards Association","Masami Tanaka, President of the Japanese Standards Association",,Masami Tanaka,
"Mr. Michael Moran, Assistant Director of the Human Trafficking and Child Exploitation Directorate of INTERPOL","Michael Moran, Assistant Director of the Human Trafficking and Child Exploitation Directorate of INTERPOL",,Michael Moran,
"Ministry of Agriculture, Food, and Rural Affairs and the National Institute of Animal Science of the Republic of Korea","Ministry of Agriculture, Food, and Rural Affairs and the National Institute of Animal Science of the Republic of Korea",,Ministry of Agriculture,
General Directorate of Abu Dhabi Police of the United Arab Emirates,General Directorate of Abu Dhabi Police of the United Arab Emirates,,Directorate of Abu Dhabi Police of the United Arab Emirates,
Immigration New Zealand,Immigration New Zealand,,Immigration New Zealand,
"Mr. José Manuel Gómez Bravo, Director of the International Observatory of Intellectual Property of Spain","José Manuel Gómez Bravo, Director of the International Observatory of Intellectual Property of Spain",,José Manuel Gómez Bravo,
"Mr. Michael Jerks, Assistant Secretary of Critical Infrastructure and Protective Security Policy in the National Security Resilience Policy Division of the Attorney-General's Department of Australia","Michael Jerks, Assistant Secretary of Critical Infrastructure and Protective Security Policy in the National Security Resilience Policy Division of the Attorney-General's Department of Australia",,Michael Jerks,
